City ID,City,Country,City Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed
4333811,morgan city,US,1593387503,29.7,-91.21,86.0,83,20,12.75
240498,bangassou,CF,1593387535,4.74,22.82,69.78,94,75,1.54
2019867,mokhsogollokh,RU,1593387536,61.47,128.92,78.91,49,89,2.75
1525798,balkhash,KZ,1593387536,46.84,74.98,63.18,60,30,15.79
1488429,uray,RU,1593387536,60.12,64.78,48.69,87,88,7.31
2027042,batagay-alyta,RU,1593387536,67.8,130.41,66.27,54,46,7.54
5374376,monterey,US,1593387536,36.25,-121.25,73.99,19,0,5.01
1244926,hambantota,LK,1593387536,6.12,81.12,81.52,80,24,16.44
5894642,bassano,CA,1593387536,50.78,-112.47,55.99,82,88,5.99
1504382,kargasok,RU,1593387536,59.06,80.86,55.18,75,6,16.4
2162683,innisfail,AU,1593387537,-17.53,146.03,64.0,90,98,5.99
1519327,shakhtinsk,KZ,1593387537,49.71,72.59,57.2,67,75,26.84
3667070,timbiqui,CO,1593387537,2.77,-77.67,76.6,85,95,2.82
1798760,pingliang,CN,1593387537,35.54,106.69,71.91,62,7,1.14
4615145,cookeville,US,1593387529,36.16,-85.5,75.99,88,1,3.36
3423146,ilulissat,GL,1593387537,69.22,-51.1,39.2,93,83,5.82
2686469,ornskoldsvik,SE,1593387537,63.29,18.72,57.2,54,15,4.7
3897347,calama,CL,1593387537,-22.47,-68.93,57.2,12,79,13.87
1651810,airai,TL,1593387537,-8.93,125.41,62.98,93,98,3.53
1272502,diu,IN,1593387538,20.71,70.98,85.33,79,99,11.68
6111862,port hardy,CA,1593387538,50.7,-127.42,66.2,63,20,14.99
2126199,cherskiy,RU,1593387538,68.75,161.3,49.28,56,32,17.78
293842,gat,IL,1593387538,31.61,34.76,73.99,83,0,3.83
3421319,nuuk,GL,1593387538,64.18,-51.72,44.6,75,10,8.05
583472,alakurtti,RU,1593387538,66.97,30.35,41.0,90,0,1.79
496358,severnyy,RU,1593387538,50.68,36.55,62.6,100,75,2.24
3175096,lasa,IT,1593387538,46.62,10.7,60.8,87,5,1.12
527321,mezen,RU,1593387538,65.85,44.24,40.98,75,89,5.68
2612529,stoholm,DK,1593387538,56.48,9.15,57.0,87,2,5.82
140463,birjand,IR,1593387539,32.87,59.22,68.0,16,0,9.17
915471,kalabo,ZM,1593387539,-14.97,22.68,54.7,43,0,5.68
4034551,faanui,PF,1593387539,-16.48,-151.75,76.26,78,100,22.37
2134814,sola,VU,1593387539,-13.88,167.55,82.4,83,75,17.07
2068110,kununurra,AU,1593387523,-15.77,128.73,60.8,23,22,13.42
4036284,alofi,NU,1593387539,-19.06,-169.92,80.6,78,38,12.75
3904906,santa cruz,BO,1593387539,-17.8,-63.17,60.8,82,90,2.24
2122605,okhotsk,RU,1593387539,59.38,143.3,54.86,72,1,7.99
2109701,auki,SB,1593387539,-8.77,160.7,85.96,65,61,0.31
1506268,gornopravdinsk,RU,1593387539,60.05,69.9,47.39,89,66,2.93
3698359,chicama,PE,1593387540,-7.84,-79.15,64.87,80,25,5.57
53654,mogadishu,SO,1593387351,2.04,45.34,78.4,86,71,16.37
3985710,cabo san lucas,MX,1593387540,22.89,-109.91,87.01,58,90,8.05
287286,muscat,OM,1593387540,23.61,58.59,96.8,47,39,5.82
3570392,le vauclin,MQ,1593387540,14.55,-60.84,82.4,78,20,8.05
1636308,manokwari,ID,1593387540,-0.87,134.08,81.54,66,72,2.19
157014,kisanga,TZ,1593387540,-7.44,37.7,68.88,90,1,1.45
2537881,asfi,MA,1593387540,32.3,-9.24,68.79,89,2,10.54
